Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
Tulsa,20.4,0.34,26.6,0.328,54.1,0.513,60.5,0.473,16.5,19.6,23.5,18.3,0.695,12.6,12.3,71.7,6.3,9.8,25,24.5,0.563,0.6
TX A&M-CC,18.7,0.323,21.2,0.349,54.8,0.476,52.5,0.461,19.5,17.2,16.4,21.9,0.698,14.9,13.5,68.4,9.2,7.8,22.8,21.9,0.357,0.375
TX Christian,22,0.346,21.5,0.304,58.6,0.523,59.7,0.499,15.8,16.1,18.6,16.5,0.682,13.5,13.1,71.8,9.3,8.8,24.4,22.2,0.622,0.778
TX El Paso,21.4,0.318,21.3,0.36,54.9,0.445,57.7,0.468,19,19,19.1,18.9,0.674,16,13.4,71.9,7.9,8.3,25.3,25.3,0.222,0.222
TX Southern,22.4,0.321,22.6,0.35,62.9,0.522,63.9,0.511,18.3,20.9,25.6,20.9,0.668,15.3,15.3,78.8,11.1,10.8,25.1,24.4,0.611,0.667
TX-Arlington,23.3,0.305,21.7,0.299,57.4,0.479,57.1,0.5,19.2,18.4,19.8,21.7,0.738,14.2,12.6,71.4,9.5,8.8,24.6,23.3,0.5,0.5
TX-Pan Am,17.1,0.313,18.7,0.338,57.4,0.46,54,0.503,20.8,22.1,24.5,23.5,0.696,12.9,17.4,73.7,7.9,9.2,21.3,25.4,0.514,0.615
TX-San Ant,26.9,0.343,23.9,0.325,64.3,0.48,60.8,0.5,18.6,16.6,16.9,21.6,0.737,12.1,13.4,75.5,8.4,9.4,25,27.1,0.5,0.556
U Mass,22.9,0.35,19.3,0.351,57.3,0.501,55.4,0.505,20.1,17.7,17.9,22.9,0.681,13.9,11.6,70.2,9.3,7.8,22.9,21.7,0.344,0.286
U Penn,25.6,0.347,19.2,0.333,57.9,0.529,59.1,0.487,16.2,17.4,16.3,15.1,0.641,12.9,13.3,71.5,7.2,7.8,24.6,24.6,0.6,0.571
UAB,19.7,0.326,25.1,0.339,57.4,0.513,56.2,0.481,16.7,16.2,18.2,17.7,0.674,11.3,11.9,68.6,9.2,7.5,24.3,22.4,0.546,0.333
UC Davis,20.4,0.327,19.7,0.346,54,0.49,52.7,0.533,19,18.2,16.1,19.8,0.708,13.5,14.3,69,6.1,7.4,21.2,24.4,0.31,0.273
UC Irvine,19,0.359,19.1,0.339,58.5,0.501,57.2,0.407,18.2,16.7,16.8,18.9,0.706,11.7,11.1,68.8,9.8,8,26.3,21.3,0.833,1
UC Riverside,21.6,0.38,19.2,0.371,53.5,0.472,53.9,0.537,17,14,12.2,18,0.682,13.1,10.3,65.7,6.8,6.9,21.2,22.2,0.233,0.5
UCLA,21.8,0.355,27.2,0.347,61,0.514,65.6,0.479,17.1,19.6,23.3,18.1,0.633,14.2,11.2,75.8,10.1,9.8,27.9,24.1,0.515,0.667
UCSB,18.2,0.348,19.8,0.318,55.6,0.494,55.7,0.508,17.7,18.8,22,18,0.718,11.1,11,67.6,9.6,7.6,23.7,21.3,0.667,0.429
UMKC,22.6,0.352,19.9,0.365,56.1,0.478,55.4,0.53,20.2,17.4,18.2,20.3,0.698,11.8,14.4,70.1,6.6,9.1,20.4,25.3,0.323,0.167
UNLV,24,0.337,19.9,0.357,59.7,0.488,58.4,0.497,17.9,18.8,20.9,18.5,0.685,12.9,12.3,71.4,11,8.3,24,21.9,0.548,0.6
USC,22.3,0.382,23.8,0.334,61.8,0.503,61.6,0.484,17.9,17.3,17.1,18.5,0.645,11.9,13.1,73.5,8.5,9.7,24.8,25.1,0.485,0.125
Utah,26,0.37,21.2,0.356,56,0.546,58.2,0.517,17.7,18.6,19.9,18.9,0.706,13.2,10,69.8,8.4,7.8,23.5,21.1,0.548,0.75
Utah State,22,0.357,22.9,0.354,57.9,0.542,57.4,0.422,18.6,19.5,21.3,19.7,0.75,12.8,12.1,72.2,9.1,6.3,27.5,21.5,0.794,0.571
Utah Val St,20.8,0.385,21.4,0.349,54.3,0.542,59.6,0.473,17.6,19.6,21.9,17.5,0.73,14.2,11.6,71.5,7.2,8.1,24.9,21.3,0.697,0.4
VA Military,27.9,0.354,24.6,0.381,60.8,0.476,61.6,0.569,17.2,16.9,17.8,19.7,0.724,12.1,12.4,74.6,7,8.6,22.5,28,0.276,0.333
VA Tech,23.7,0.394,26.5,0.327,54.3,0.53,53,0.49,15.2,16.4,17.3,14,0.761,11.2,14,66,7.6,7.7,22.1,20.2,0.743,0.4
Valparaiso,17.7,0.31,19,0.334,53.3,0.501,54.4,0.498,16.7,16.4,17.1,17.2,0.699,13.5,12.5,67.6,7.2,7.5,22.8,22.9,0.419,0.455
Vanderbilt,23.1,0.311,21,0.349,54.7,0.5,58.9,0.48,17.8,18.7,22.2,19.6,0.673,14.2,11.3,70.8,8.7,8.6,23.5,23.7,0.281,0.2
VCU,23.4,0.305,18.3,0.285,56.7,0.531,55.2,0.438,19.7,19.4,20.3,20.2,0.701,13.9,16.2,71.4,9.5,9,24.4,22.6,0.758,0.625
Vermont,22.4,0.359,20.3,0.351,54.8,0.516,53.8,0.463,16.9,19.3,19.7,14.8,0.749,11.2,12.7,67.5,7.7,6.1,24.3,22.2,0.788,1
Villanova,30,0.352,22.2,0.343,56.1,0.537,55.9,0.497,16.1,18.2,19.3,15.8,0.728,10.8,11.5,67.1,9.1,7.6,23,21.5,0.722,0.556
Virginia,21.4,0.395,22.3,0.289,54.1,0.525,52.5,0.457,14.3,15.6,15.7,13.8,0.744,9,10.7,62.6,7.9,7.2,24.5,19.8,0.921,0.857
W Carolina,25,0.368,22.6,0.341,54.6,0.523,58.9,0.578,20.8,18.9,19,23.4,0.669,18.1,10.6,73.5,8.2,7.2,23.9,22,0.194,0
W Illinois,20.4,0.382,22.6,0.389,59.9,0.459,60.4,0.484,16.2,14.8,13.9,17,0.717,11.3,10,70.9,6.8,7.7,25.4,27.1,0.276,0.143
W Kentucky,17.9,0.327,24.5,0.345,56.2,0.502,60,0.471,15.5,18.2,21.3,15.4,0.724,13.7,12.9,71.7,8.6,8.2,25.1,22.5,0.588,0.5
W Michigan,22.4,0.305,23.5,0.369,57,0.494,61.6,0.501,17.9,18.4,20.9,18.4,0.692,15.5,10.8,72.9,9.1,8.7,24.8,23.6,0.226,0.222
W Virginia,23.7,0.316,21.2,0.362,60.5,0.476,58.6,0.513,19.7,21.3,23.6,22.2,0.688,15.5,13.4,74.2,12.5,8.9,23.3,23,0.417,0.571
Wagner,25.8,0.301,20.9,0.352,56.1,0.431,50.9,0.499,21.2,18.1,19,23.7,0.746,13.7,13.1,68,11,7.1,20.9,22.3,0.393,0.571
Wake Forest,20.6,0.308,23.3,0.341,58.5,0.441,57.7,0.547,17.9,19.4,22,20.3,0.725,13.5,11.1,70.9,10.8,8.2,23.1,23.3,0.355,0.5
Wash State,25.9,0.364,25.6,0.362,58.2,0.515,61.5,0.548,17.3,16.9,17.6,17.4,0.755,13.8,12.3,72.9,7.6,9,23.5,24.5,0.344,0.25
Washington,21.7,0.35,19.2,0.334,54.3,0.519,54.4,0.46,18.1,18.3,18.9,18.5,0.695,13.3,16.3,69.2,7.8,9.9,20.3,21.8,0.75,0.75
Weber State,20.3,0.352,20.7,0.317,57.7,0.534,63,0.497,18.4,19,21.4,19.5,0.742,11.6,11.6,74.5,5.6,8.8,26.8,26.1,0.516,0.143
WI-Grn Bay,23.1,0.345,25.3,0.344,62.9,0.514,64.2,0.525,19.3,18.9,21.3,20.7,0.698,13.1,14.3,77.9,8.6,10.1,24.3,26.3,0.528,0.727
WI-Milwkee,22,0.338,26.4,0.333,58.6,0.465,58.3,0.53,19,15.5,16.5,21.1,0.742,12.5,10.6,70.4,7.8,9.1,24,25.3,0.267,0.444
Wichita St,24.1,0.31,21,0.33,61.5,0.471,56.3,0.465,19.1,16.9,17.7,21.8,0.725,12.1,12.1,71.2,10.4,8,24.8,23.5,0.595,0.546
Winthrop,32,0.367,25,0.338,60.7,0.534,63.1,0.516,17.9,18.3,18.5,19.1,0.723,15,11.4,75.3,9.3,8.2,26.6,24.2,0.556,0.6
Wisconsin,19.8,0.359,20.1,0.315,57.2,0.497,57.4,0.441,15,17.3,15.6,14.8,0.648,9.6,11.4,67.4,7.4,7.9,25,24.5,0.677,0.6
Wm & Mary,23.6,0.35,21.6,0.37,56.9,0.558,59.7,0.511,16.6,16.4,17.8,17.9,0.667,12.7,10.9,71.4,7,7.4,24.4,23.6,0.433,0.5
Wofford,26.2,0.414,22,0.326,59.8,0.539,55.1,0.506,17.3,15.7,16.6,17.5,0.71,11,13.1,69.4,9.4,7,23.3,20.5,0.844,1
Wright State,22.9,0.346,20.9,0.365,57.1,0.504,54.7,0.521,15.8,18.7,20,15.6,0.74,11.7,13.6,69.1,8.8,7,22.6,22.4,0.576,0.4
Wyoming,22.5,0.345,23.8,0.346,52,0.471,58.9,0.516,18.4,18.7,20.4,20.3,0.721,14,12.2,72,3.8,8.5,23.3,26.8,0.226,0.2
Xavier,21.1,0.331,25.1,0.356,56.5,0.547,59.5,0.487,15.7,17.3,18.4,14.8,0.679,12.9,10.6,68.5,9.3,8.9,24.9,21.4,0.543,0.4
Yale,21.4,0.365,23.8,0.31,60.5,0.56,62.9,0.478,17,16.9,18.2,19.6,0.735,13.1,11.1,74.9,7.7,8.2,28.3,23.6,0.724,0.6
Youngs St,28.1,0.341,22,0.342,63.7,0.485,58.5,0.55,20.8,15.2,14.7,22.5,0.697,13.1,11.5,72.5,11.1,8.5,22.4,24.1,0.333,0.667
